Site Code,Site Name,Voltage (kV)
ABNE,ABERNETHY,33.0
ACHE,ACHANY EXTENSION,33.0
AIGA,AIGAS HYDRO,132.0
AIGA,AIGAS HYDRO,11.0
ALNE,ALNESS GSP,33.0
ANSN,AN SUIDHE NORTH,275.0
ANSN,AN SUIDHE NORTH,33.0
ANSU,AN SUIDHE,132.0
ARMO,ARDMORE,33.0
BAGP,BAILLIE GREENER GRID PARK,275.0
BALA,BALALLAN,132.0
BEAU,BEAULY,132.0
BEAU,BEAULY,275.0
BERB,BERRY BURN,275.0
BEWF,BEAW FIELD,33.0
BHLA,BHLARAIDH WIND FARM,132.0
BHLA,BHLARAIDH WIND FARM,33.0
BLBS,BLACKHILLOCK BATTERY STORAGE,33.0
BLEX,BHLARAIDH EXTENSION,132.0
BLEX,BHLARAIDH EXTENSION,33.0
BLHI,BLACKHILLOCK,275.0
BOAG,BOAT OF GARTEN,132.0
BOAG,BOAT OF GARTEN,33.0
BONB,BONNYBRIDGE BORDER NODE,275.0
BROA,BROADFORD,132.0
BUMU,BURGHMUIR,33.0
CAID,CAIRN DUHIE WIND FARM,275.0
CLAC,CLACHAN,132.0
CLAY,CLAYHILLS,33.0
CLGO,CLASH GOUR WIND FARM,132.0
CLOI,CLOICHE WIND FARM,132.0
CLUN,CLUNIE,132.0
CLUN,CLUNIE,11.0
COGA,CORRIEGARTH WIND FARM,33.0
CRAI,CRAIGIEBUCKLER,33.0
CRAR,CRARAE,132.0
CRAS,CRARAE SOUTH,275.0
CRMU,CRAIG MURRAIL,275.0
CRSS,CROSSAIG,132.0
DAAS,DALLAS SUBSTATION,275.0
DALB,DALMALLY BORDER NODE,275.0
DEAW,DEANIE WEST,132.0
DENS,DENSIDE,132.0
DLCH,DALCHORK,132.0
DOUN,DOUNREAY,132.0
DOUN,DOUNREAY,400.0
DUBE,DUNBEATH,132.0
DUCC,DUNMORE CABLE COMPOUND,132.0
DUDH,DUDHOPE,132.0
DUDH,DUDHOPE,33.0
DUNM,DUNMAGLASS,132.0
DUNO,DUNOON,33.0
DYCE,DYCE,132.0
EARR,EARRAGHAIL,33.0
ELGI,ELGIN,132.0
EMMO,EMMOCK,400.0
FARI,FARIGAIG,132.0
FARI,FARIGAIG,275.0
FASN,FASNAKYLE,132.0
FASN,FASNAKYLE,275.0
FASN,FASNAKYLE,33.0
FAUG,FORT AUGUSTUS,132.0
FAUG,FORT AUGUSTUS,33.0
FERO,FERNOCH WIND,132.0
FINL,FINLARIG,11.0
FINS,ORKNEY FINSTOWN,132.0
FINS,ORKNEY FINSTOWN,33.0
FOGG,FOGGIETON,132.0
FOYE,FOYERS,
FYRI,FYRISH,132.0
GARB,GARELOCH BOUNDARY,132.0
GLAG,GLENAGNES,132.0
GLDY,GLENDYE,132.0
GLFA,GLENFARCLAS,132.0
GLNU,GLEN ULLINISH WINDFARM,132.0
GLRB,GLENROTHES BOUNDARY,275.0
GORW,GORDONBUSH WINDFARM,33.0
GREM,GREMISTA,132.0
GRNS,GREENS,400.0
GRUB,GRUDIE BRIDGE,132.0
HICL,HIGH CONSTELLATION,132.0
HUNN,HUNTERSTON NORTH,275.0
HURL,HURLIE,400.0
INVB,INVERANAN BOUNDARY,275.0
INVR,INVERARNAN,132.0
KEIT,KEITH,132.0
KEIT,KEITH,33.0
KIIN,KILLIN,33.0
KILC,KILLIN CASCADE GROUP,132.0
KILO,KINLOCHLEVEN,33.0
KINB,KINCARDINE BOUNDARY,275.0
KINM,KINMUCK,275.0
KINT,KINTORE,33.0
KION,KILMORACK NORTH,132.0
KNOC,KNOCKNAGAEL,132.0
KRKN,KIRKTON,132.0
KRKN,KIRKTON,33.0
LAGG,LAGGAN,132.0
LAIR,LAIRG,33.0
LEWI,LEWIS SUBSTATION,400.0
LKEM,LOCH KEMP PUMPED STORAGE,275.0
LOCB,LOCH BUIDHE,275.0
LOCH,LOCHAY,11.0
LOSD,LONGSIDE,132.0
LUIC,LUICHART,132.0
LUNA,LUNANHEAD,33.0
LUND,LUNDAVRA,132.0
MACD,MACDUFF,33.0
MEYG,MEYGEN,132.0
MOSS,MOSSFORD,11.0
MOWO,MORAY WEST ONSHORE,400.0
MSHL,MOSSY HILL,33.0
MUAI,MUAITHEBHEAL WIND FARM,33.0
ORRI,ORRIN,11.0
OWFD,OWF-100,132.0
PEHE,PETERHEAD,275.0
PERS,PERSLEY,275.0
PERS,PERSLEY,33.0
QUOI,QUOICH,11.0
ROTI,ROTHIENORMAN,33.0
SFEE,ST FERGUS EAST,132.0
SHIN,SHIN,11.0
SPIT,SPITTAL,275.0
STCS,STRATHY COLLECTOR STATION,132.0
STOR,STORNOWAY,132.0
STRB,STRATH BRORA WIND,275.0
STRL,STRONELAIRG WIND FARM (SSE),132.0
STRW,STRATHY WIND,132.0
TAYN,TAYNUILT,33.0
THUS,THURSO SOUTH,400.0
TLSK,TALISK OFFSHORE WIND FARM,400.0
TNGF,TANGY IV,33.0
TOMT,TOMATIN,132.0
TUMB,TUMMEL BRIDGE,132.0
WFIB,WESTFIELD BOUNDARY,275.0
WOHI,WOODHILL,33.0
ABED,ABERARDER ONSHORE WIND FARM,132.0
ABNE,ABERNETHY,132.0
ACHE,ACHANY EXTENSION,132.0
AIGN,AIGAS NORTH,132.0
ALNE,ALNESS GSP,132.0
ALYT,ALYTH,400.0
ANSU,AN SUIDHE,33.0
ARBR,ARBROATH,33.0
ARDK,ARDKINGLAS WIND,132.0
ARDK,ARDKINGLAS WIND,33.0
ARMO,ARDMORE,132.0
ASBS,ALYTH SOLAR AND BATTERY STORAGE,132.0
ASBS,ALYTH SOLAR AND BATTERY STORAGE,400.0
AYRE,AYRE OFFSHORE WIND FARM,400.0
BANN,BANNISKIRK,400.0
BEAU,BEAULY,33.0
BEAU,BEAULY,400.0
