Node 1,Node 2,R (% on 100 MVA),X (% on 100 MVA),B (% on 100 MVA),Rating (MVA)
ABNE1Q,ABNE3-,0.2265,24.724,-0.0048,120.0
ABNE1R,ABNE3-,0.2283,24.6239,-0.0018,120.0
BEAU21,BEAU11,0.6785,12.1895,-0.0003,120.0
BEAU4-,BEAU21,0.0376,1.5954,-0.1302,1200.0
BEAU4-,BEAU21,0.0374,1.5937,-0.1258,1200.0
BEIN1-,BEIN31,0.1925,10.3315,-0.0031,120.0
BLHI21,BLHI11,0.1506,5.3034,-0.022,360.0
BLHI21,BLHI11,0.1486,5.3035,-0.0319,360.0
BOAG1R,BOAG3-,0.6051,24.826,-0.0118,60.0
BRID1J,BRID3-,0.6331,28.7597,-0.1392,60.0
BRID1K,BRID3-,0.6369,28.943,-0.1392,60.0
BROA1Q,BROA3-,2.4822,38.9209,-0.076,30.0
BROR1-,BROR3-,0.809,24.8757,-0.0164,45.0
BUMU1R,BUMU3-,0.3758,25.4194,-0.0694,90.0
CASS1Q,CASS3-,1.5181,39.6376,-0.0263,30.0
CHAR11,CHAR3-,0.4409,26.9742,-0.0494,90.0
CHAR11,CHAR3-,0.442,27.0408,-0.0494,90.0
CONN2Q,CONN1J,0.143,5.3036,-0.0252,360.0
CORI11,CORI3-,0.4571,19.8836,-0.0158,90.0
COUA1N,COUA3-,0.2143,25.0741,-0.0002,120.0
CRAI12,CRAI3-,1.7486,30.2161,-0.0475,30.0
CREA1-,CREA3-,0.329,9.9362,-0.0533,120.0
CRSS1B,CRSS11,0.0582,2.1492,-0.0003,240.0
DORE1J,DORE3J,0.2099,9.8894,-0.0003,120.0
DOUN21,DOUN11,0.2112,7.7054,-0.0236,240.0
DUBE1-,DUBE3-,1.5189,39.3707,-0.0261,30.0
DUNO1R,DUNO3-,1.9932,24.4968,-0.0163,45.0
ERRO11,ERRO1C,0.1833,3.7288,0.0,150.0
FARI2J,FARI1J,0.4989,8.2933,-0.0546,120.0
FAUG2Q,FAUG11,0.2606,7.7039,-0.02,240.0
FINL1Q,FINL5-,0.9554,27.0943,-0.0051,45.0
FRAS1R,FRAS3-,0.7452,26.9008,-0.0467,45.0
FYRI2K,FYRI11,0.0967,3.8863,-0.0589,480.0
GRUB1Q,GRUB3-,0.4445,24.8738,-0.0505,90.0
INNE1K,INNE3-,0.8987,27.9856,-0.1392,60.0
KEIT11,KEIT31,0.555,28.5502,-0.0492,90.0
KEIT12,KEIT32,0.4521,25.8961,-0.0492,90.0
KIIN12,KIIN3-,0.7689,24.5213,-0.0079,45.0
LUIC1R,LUIC5B,0.7669,37.5477,-0.0075,45.0
LUNA1Q,LUNA3-,0.4555,25.0181,-0.049,90.0
MACD1R,MACD3-,0.3678,25.3418,-0.0601,90.0
MELG41,MELG11,0.108,3.9569,-0.078,480.0
MILW1-,MILW3-,0.4654,24.8957,-0.0165,90.0
MYBS1S,MYBS31,0.3837,24.9804,-0.002,120.0
MYBS1T,MYBS31,0.2578,24.757,-0.0412,120.0
MYBS1T,MYBS31,0.3773,24.9805,-0.0268,120.0
ORRI1Q,ORRI5-,2.1751,48.7015,-0.0933,20.0
PEHE21,PEHE11,0.4842,9.9549,-0.1024,240.0
PEHE21,PEHE11,0.2649,9.2254,-0.0285,240.0
PEHE2B,PEHE21,0.026,1.533,-0.0005,1200.0
PEHE41,PEHE21,0.0265,1.624,-0.121,1200.0
PERS2Q,PERS11,0.3363,8.9062,-0.2373,240.0
QUOI1-,QUOI5-,1.3392,33.1063,-0.012,30.0
RANN1Q,RANN3-,0.4331,24.6629,-0.0042,90.0
RANN1R,RANN3-,0.4312,24.5518,-0.0042,90.0
REDM1Q,REDM3-,0.9095,26.9847,-0.0157,60.0
ROTI41,ROTI3J,0.2061,24.5241,-0.0378,120.0
SFEE1Q,SFEE5-,1.3274,76.6552,-0.0088,36.0
SHIN11,SHIN3-,0.4495,26.0517,-0.0002,90.0
SLOY1P,SLOY5P,0.8001,23.1862,-0.0149,50.0
STRL1-,STRL3C,0.2021,17.6655,-0.0003,120.0
STRW1-,STRW3-,0.3634,17.5518,-0.0002,90.0
TARL1J,TARL3-,1.0755,40.9859,-0.0216,30.0
TAYN1Q,TAYN3-,0.3145,28.6983,-0.0033,90.0
THUS21,THUS11,0.1,3.9362,-0.049,480.0
TUMM2J,TUMM1J,0.259,7.7457,-0.0239,240.0
VIKE1S,VIKE3S,0.3704,11.1049,-0.0003,135.0
WOHI1Q,WOHI3-,0.6199,27.2374,-0.0494,90.0
AIGA1Q,AIGA5-,1.7562,44.8545,-0.0001,23.0
ALNE1Q,ALNE3J,0.3715,26.189,-0.0002,120.0
ARDK1-,ARDK3-,0.8056,24.8758,-0.0163,45.0
BEAU21,BEAU11,0.6786,12.1644,-0.0003,120.0
BLHI41,BLHI21,0.0264,1.5331,-0.0947,1200.0
BLHI41,BLHI21,0.0262,1.5331,-0.0911,1200.0
BOAG1Q,BOAG3-,0.6105,24.9925,-0.0002,60.0
BRCW2J,BRCW3-,0.2893,19.9146,-0.0155,120.0
BUMU1Q,BUMU3-,0.3661,25.3751,-0.0694,90.0
CAAD1R,CAAD31,0.2558,24.832,-0.007,120.0
CAIN2-,CAIN3J,0.379,18.0794,-0.0241,120.0
CLAY1Q,CLAY3-,0.8719,24.9014,-0.2968,60.0
CLAY1T,CLAY3-,0.8719,24.9014,-0.2968,60.0
CLUN1Q,CLUN5J,0.7305,19.5197,-0.0851,60.0
COGA1-,COGA3-,0.2691,17.8869,-0.0097,90.0
CORI11,CORI3B,0.3843,17.7403,-0.0056,90.0
COUA1S,COUA3-,0.2152,25.1241,-0.0002,120.0
CRAR1R,CRAR3-,0.4031,17.7732,-0.0172,90.0
CRSS11,CRSS3-,0.4099,17.9953,-0.0168,90.0
CRSS1A,CRSS11,0.0582,2.145,-0.0058,240.0
CRSS2A,CRSS11,0.2466,9.0008,-0.0169,240.0
CULL1-,CULL5-,1.5094,37.5697,-0.2165,25.0
DORE1K,DORE3K,0.2099,9.8894,-0.0003,120.0
DOUN11,DOUN3-,0.4796,26.0734,-0.0407,90.0
DOUN11,DOUN3-,0.4573,25.9515,-0.0405,90.0
DUDH1R,DUDH3-,0.7797,23.9206,-0.0118,60.0
