Geo Point,Geo Shape,Export Date,Name,Operating Voltage
"56.28705440009193, -4.95557737885365","{""coordinates"": [[[-4.955978350993993, 56.287128422639064, 0.0], [-4.955957361722771, 56.28716709077284, 0.0], [-4.955954857438498, 56.28717170435644, 0.0], [-4.955950131175121, 56.287180401627595, 0.0], [-4.955901376725174, 56.28727024145641, 0.0], [-4.955836521635039, 56.287360456933804, 0.0], [-4.95568733316492, 56.287331000562155, 0.0], [-4.955036865509692, 56.28720256849459, 0.0], [-4.955327552149713, 56.28674570642924, 0.0], [-4.956101873889166, 56.286900863346474, 0.0], [-4.955978350993993, 56.287128422639064, 0.0]]], ""type"": ""Polygon""}",30/01/2026,ARDKINGLAS SUBSTATION,132000
"57.24429015456756, -4.703349221934836","{""coordinates"": [[[-4.703983458666981, 57.24397120108633, 0.0], [-4.703971131289669, 57.244616087344916, 0.0], [-4.702712484465824, 57.24460794703256, 0.0], [-4.702728782662192, 57.243964692223784, 0.0], [-4.703983458666981, 57.24397120108633, 0.0]]], ""type"": ""Polygon""}",30/01/2026,BHLARAIDH SUBSTATION,132000
"56.72039649301642, -2.55686200853707","{""coordinates"": [[[-2.557469323256088, 56.72046007734457, 0.0], [-2.557039428677064, 56.72051734578929, 0.0], [-2.55689720227569, 56.72053556740581, 0.0], [-2.556869805000998, 56.720539103711566, 0.0], [-2.556730710549986, 56.72055787262552, 0.0], [-2.556608901010561, 56.720574318212265, 0.0], [-2.556553459463291, 56.72058184277071, 0.0], [-2.556526773432029, 56.72058563815035, 0.0], [-2.556416499248054, 56.72060132050238, 0.0], [-2.556401808342615, 56.7206022844931, 0.0], [-2.556399154031112, 56.72059857705651, 0.0], [-2.556250526095828, 56.72039093350603, 0.0], [-2.556231619067734, 56.72036451932151, 0.0], [-2.556215790104718, 56.720342405409994, 0.0], [-2.556244924140661, 56.72033842757608, 0.0], [-2.556315677729682, 56.720328766711106, 0.0], [-2.556438848782265, 56.7203114034724, 0.0], [-2.556589343116853, 56.72029015832748, 0.0], [-2.556666451369125, 56.720280872245105, 0.0], [-2.556679210589137, 56.720279335602655, 0.0], [-2.556724551423732, 56.72027383255875, 0.0], [-2.557129126271474, 56.72022018749279, 0.0], [-2.557158967316253, 56.720216191010536, 0.0], [-2.557357861812104, 56.72018646338091, 0.0], [-2.55740767104108, 56.72030626404324, 0.0], [-2.557422212161773, 56.72033934918794, 0.0], [-2.557464597624787, 56.72043223165576, 0.0], [-2.557472430977946, 56.7204500348281, 0.0], [-2.557474367747825, 56.720454380607215, 0.0], [-2.557476433035723, 56.72045913008199, 0.0], [-2.557469323256088, 56.72046007734457, 0.0]]], ""type"": ""Polygon""}",30/01/2026,BRIDGE OF DUN SUBSTATION,132000
"57.24802534647725, -5.936040317986769","{""coordinates"": [[[-5.93638848929737, 57.24771805439892, 0.0], [-5.936739352157989, 57.247787422921405, 0.0], [-5.936544479547364, 57.24805492502319, 0.0], [-5.936255454374544, 57.248151608320825, 0.0], [-5.936243778393916, 57.24815552452724, 0.0], [-5.936223524927209, 57.24816228413619, 0.0], [-5.936223048092875, 57.248162478928606, 0.0], [-5.936161962743721, 57.24818849292704, 0.0], [-5.936160532238675, 57.248189077303564, 0.0], [-5.93569653138279, 57.24838913070466, 0.0], [-5.935304800908181, 57.24813184725547, 0.0], [-5.935306765524418, 57.24813096739527, 0.0], [-5.935782340846735, 57.247918008963254, 0.0], [-5.93585391261457, 57.24788596548278, 0.0], [-5.936168958534129, 57.247744885949594, 0.0], [-5.936277764312438, 57.24769616259854, 0.0], [-5.93638848929737, 57.24771805439892, 0.0]]], ""type"": ""Polygon""}",30/01/2026,BROADFORD SUBSTATION,132000
"56.3966921624204, -3.4878104743850984","{""coordinates"": [[[-3.488498069532652, 56.396847762312994, 0.0], [-3.488412394470516, 56.396844752807105, 0.0], [-3.488413961269613, 56.39693155507207, 0.0], [-3.487797492409346, 56.39695049701637, 0.0], [-3.487557891345276, 56.39695785811216, 0.0], [-3.487553873216362, 56.39695798179427, 0.0], [-3.487524068108991, 56.39695889734995, 0.0], [-3.487470633192694, 56.39696053934709, 0.0], [-3.487470692415318, 56.3969612269082, 0.0], [-3.487414935939074, 56.39696225069085, 0.0], [-3.487188169965553, 56.396966412892546, 0.0], [-3.487181044886472, 56.39684187267951, 0.0], [-3.487180609755025, 56.396834869389146, 0.0], [-3.48715498749324, 56.396835022155415, 0.0], [-3.48710626013271, 56.396835311859014, 0.0], [-3.487105964661794, 56.39683026927606, 0.0], [-3.487104783978256, 56.396830155845755, 0.0], [-3.487102584899448, 56.39679416297512, 0.0], [-3.487089684283363, 56.396582996761985, 0.0], [-3.487090623873663, 56.396582952247634, 0.0], [-3.487090758402728, 56.396584449376974, 0.0], [-3.487228687903956, 56.396581626971155, 0.0], [-3.487228237801583, 56.39657640024784, 0.0], [-3.487220359526999, 56.396484977084235, 0.0], [-3.487217233589426, 56.396448692526796, 0.0], [-3.487289435179144, 56.39644719751873, 0.0], [-3.48732666431109, 56.396446301685124, 0.0], [-3.487528176906243, 56.3964411887302, 0.0], [-3.487761268103956, 56.396435696544856, 0.0], [-3.488034844680131, 56.39642971806054, 0.0], [-3.48824202503499, 56.39642453592504, 0.0], [-3.488474125377319, 56.39641906597201, 0.0], [-3.488498069532652, 56.396847762312994, 0.0]]], ""type"": ""Polygon""}",30/01/2026,BURGHMUIR SUBSTATION,132000
"55.590230106478636, -5.502713688502125","{""coordinates"": [[[-5.503218175659093, 55.58980051990799, 0.0], [-5.503347209707274, 55.58994536957899, 0.0], [-5.503234635559087, 55.58997700616667, 0.0], [-5.503504219066651, 55.59027575751847, 0.0], [-5.502889061796452, 55.590454181664825, 0.0], [-5.502880416058165, 55.5905040909085, 0.0], [-5.502375793366433, 55.59064855628094, 0.0], [-5.502336357120468, 55.590608978428584, 0.0], [-5.502295864100605, 55.590621202998285, 0.0], [-5.501898329708287, 55.5901807473634, 0.0], [-5.503218175659093, 55.58980051990799, 0.0]]], ""type"": ""Polygon""}",30/01/2026,CARRADALE SUBSTATION,132000
"57.42557508396386, -4.702652326692237","{""coordinates"": [[[-4.702697327961331, 57.425437892130866, 0.0], [-4.702747350100792, 57.42543013598175, 0.0], [-4.702788170039399, 57.42548416392787, 0.0], [-4.702836687910758, 57.42556373251965, 0.0], [-4.702880696474301, 57.425664083718885, 0.0], [-4.702551841885144, 57.42572409890519, 0.0], [-4.70241754554725, 57.42548433699385, 0.0], [-4.702697327961331, 57.425437892130866, 0.0]]], ""type"": ""Polygon""}",30/01/2026,CULLIGRAN SUBSTATION,132000
"57.40739677661113, -4.844115959489298","{""coordinates"": [[[-4.844180046810342, 57.40723117606638, 0.0], [-4.844414383624359, 57.40744858629098, 0.0], [-4.844051871360524, 57.40756237732355, 0.0], [-4.843817535925599, 57.407344966414605, 0.0], [-4.844180046810342, 57.40723117606638, 0.0]]], ""type"": ""Polygon""}",30/01/2026,DEANIE SUBSTATION,132000
"57.377857119368926, -3.0985033884203466","{""coordinates"": [[[-3.099050208396021, 57.37716426778642, 0.0], [-3.099129869176706, 57.37806852099409, 0.0], [-3.09919816770129, 57.37806664906199, 0.0], [-3.099224813385844, 57.37839739963904, 0.0], [-3.099163591974115, 57.3783984731586, 0.0], [-3.099172358097076, 57.37850967360315, 0.0], [-3.097945812437388, 57.37854279871367, 0.0], [-3.097812925426965, 57.37719610213653, 0.0], [-3.099050208396021, 57.37716426778642, 0.0]]], ""type"": ""Polygon""}",30/01/2026,DORENELL SUBSTATION,132000
"57.43274040896545, -6.539746324926561","{""coordinates"": [[[-6.539185763730248, 57.43251344525451, 0.0], [-6.539730679089319, 57.43245095554509, 0.0], [-6.539703371043375, 57.432372258908316, 0.0], [-6.539816549826471, 57.43236024984915, 0.0], [-6.539974863390942, 57.43237437760295, 0.0], [-6.54004307860893, 57.432389760492526, 0.0], [-6.540095280327646, 57.432533731056964, 0.0], [-6.539986733250751, 57.4325832061581, 0.0], [-6.540004982091492, 57.43264694808312, 0.0], [-6.540135733777935, 57.43269268775841, 0.0], [-6.540199929296625, 57.432874038246275, 0.0], [-6.54009256197207, 57.43294821469933, 0.0], [-6.540143060066354, 57.433084898247145, 0.0], [-6.540089997923375, 57.43309823653466, 0.0], [-6.540032919718022, 57.43316455343468, 0.0], [-6.539745157973093, 57.43313552576053, 0.0], [-6.539666706665854, 57.43311925468675, 0.0], [-6.539640406668507, 57.43309504448306, 0.0], [-6.539660885226312, 57.4330741775045, 0.0], [-6.539703185069963, 57.43306041652707, 0.0], [-6.539710139127626, 57.43302398968068, 0.0], [-6.539682792223002, 57.43292455312893, 0.0], [-6.539653032036602, 57.4328908814805, 0.0], [-6.539569734673009, 57.432876933144236, 0.0], [-6.539322470959397, 57.432901570201764, 0.0], [-6.539185763730248, 57.43251344525451, 0.0]]], ""type"": ""Polygon""}",30/01/2026,DUNVEGAN SUBSTATION,132000
