Geo Point,Geo Shape,Export Date,Name,Operating Voltage
"57.52216874668125, -2.9451112647158046","{""coordinates"": [[[-2.945257128652003, 57.52289649935159, 0.0], [-2.944061780365913, 57.52301297831701, 0.0], [-2.943971172477362, 57.52275981853589, 0.0], [-2.94429540651836, 57.52201726565996, 0.0], [-2.944297722115296, 57.52199239240893, 0.0], [-2.944296866328606, 57.52199158136105, 0.0], [-2.944187151806927, 57.52188852305786, 0.0], [-2.944032437550338, 57.521743195005605, 0.0], [-2.943981807333899, 57.52169575732228, 0.0], [-2.944066210833244, 57.52166896834785, 0.0], [-2.945049668700082, 57.52135681603142, 0.0], [-2.945090981229389, 57.521343703178445, 0.0], [-2.945864652511054, 57.52145746105966, 0.0], [-2.945960743700844, 57.52147118541458, 0.0], [-2.94599737510042, 57.521467317613954, 0.0], [-2.946502204698785, 57.52192562605583, 0.0], [-2.945846887867765, 57.52211632663364, 0.0], [-2.945821065998334, 57.52212384041082, 0.0], [-2.945913369944019, 57.522211497133775, 0.0], [-2.946289146272649, 57.522568348779565, 0.0], [-2.945257128652003, 57.52289649935159, 0.0]]], ""type"": ""Polygon""}",30/01/2026,BLACKHILLOCK TRAINING CENTRE,275000
"56.262028372646654, -3.947291562310119","{""coordinates"": [[[-3.948542630897157, 56.262049404693514, 0.0], [-3.948476402691096, 56.26209636754049, 0.0], [-3.948435374056054, 56.262124718338335, 0.0], [-3.948159024140604, 56.262318761160124, 0.0], [-3.948056427763094, 56.26239211396309, 0.0], [-3.947779221172931, 56.26259031205825, 0.0], [-3.94770762887171, 56.262641501588654, 0.0], [-3.947611450155551, 56.26259842558606, 0.0], [-3.94751486513815, 56.262555166294796, 0.0], [-3.947249736571854, 56.26243641659292, 0.0], [-3.947174294282835, 56.26240262025109, 0.0], [-3.947125019062735, 56.26243772326456, 0.0], [-3.947123432765833, 56.262438853539564, 0.0], [-3.947050600421786, 56.26249075414298, 0.0], [-3.94693323286113, 56.262440255885004, 0.0], [-3.946916065216734, 56.26243286970468, 0.0], [-3.946836037956804, 56.262398444372636, 0.0], [-3.94680084464308, 56.26238330805956, 0.0], [-3.94664006392524, 56.26231413613148, 0.0], [-3.94623495996943, 56.262139812699836, 0.0], [-3.946208989877443, 56.26212887151911, 0.0], [-3.946162659615701, 56.2621093541588, 0.0], [-3.946047246851468, 56.262060738408515, 0.0], [-3.946117026266121, 56.262010996393, 0.0], [-3.947004767668322, 56.26137815614851, 0.0], [-3.948542630897157, 56.262049404693514, 0.0]]], ""type"": ""Polygon""}",30/01/2026,BRACO WEST SUBSTATION,275000
"57.32945306850578, -4.793182747373328","{""coordinates"": [[[-4.793177548819958, 57.32907012452772, 0.0], [-4.793186630296934, 57.32906855941804, 0.0], [-4.793370855856905, 57.32903680756603, 0.0], [-4.793430113085219, 57.32894869260805, 0.0], [-4.793933790211359, 57.329068282876946, 0.0], [-4.79386050405557, 57.32916607628762, 0.0], [-4.793832375889261, 57.32920360997484, 0.0], [-4.793815327503598, 57.32922635795538, 0.0], [-4.794035508296462, 57.32927776105894, 0.0], [-4.793889882378883, 57.3294393966176, 0.0], [-4.793875064842713, 57.32945585791241, 0.0], [-4.793611653683228, 57.32976156896228, 0.0], [-4.793494851322991, 57.32989713877908, 0.0], [-4.79341501653153, 57.32998978211947, 0.0], [-4.793401380463499, 57.33000561496011, 0.0], [-4.793350626851232, 57.32999371110256, 0.0], [-4.7925803779889, 57.32981328243941, 0.0], [-4.792551485739421, 57.32980652498823, 0.0], [-4.792530794706307, 57.32980168479008, 0.0], [-4.792505267514835, 57.32979571805719, 0.0], [-4.792419113430977, 57.32977554366918, 0.0], [-4.792351169014284, 57.32975963276139, 0.0], [-4.792362544814802, 57.32974488376495, 0.0], [-4.792393706922121, 57.32970447724921, 0.0], [-4.792579482687536, 57.329463560023285, 0.0], [-4.792599418367643, 57.32943770682442, 0.0], [-4.792485106083822, 57.329411127219636, 0.0], [-4.792437441741131, 57.32940004412715, 0.0], [-4.792772024280642, 57.32898247279964, 0.0], [-4.792995347067063, 57.32903503015729, 0.0], [-4.793005177555522, 57.329037355158974, 0.0], [-4.793032402619944, 57.32904380532544, 0.0], [-4.793037546234097, 57.32904502116865, 0.0], [-4.793045464800969, 57.329046894343506, 0.0], [-4.793063366563735, 57.32905113405876, 0.0], [-4.793126466556429, 57.32906590925962, 0.0], [-4.793136820831038, 57.329068348436024, 0.0], [-4.793153453048182, 57.32907225865135, 0.0], [-4.793158408317944, 57.32907342295319, 0.0], [-4.793167588235113, 57.32907184127849, 0.0], [-4.793177548819958, 57.32907012452772, 0.0]]], ""type"": ""Polygon""}",30/01/2026,FASNAKYLE SUBSTATION,275000
"57.262419418540624, -4.483124766225293","{""coordinates"": [[[-4.483257663834273, 57.2624831422341, 0.0], [-4.483213063676106, 57.262498760624226, 0.0], [-4.483191364427576, 57.26252269876034, 0.0], [-4.483086550191275, 57.26256248999269, 0.0], [-4.482996268913575, 57.26253427097528, 0.0], [-4.483021649754619, 57.26250766843904, 0.0], [-4.482909576675587, 57.26247575178847, 0.0], [-4.482975741602139, 57.26240618547641, 0.0], [-4.482919720702131, 57.26238942255768, 0.0], [-4.48296184797316, 57.26234727064433, 0.0], [-4.482979096162313, 57.26235257492976, 0.0], [-4.483048481090619, 57.26228290538572, 0.0], [-4.483395692058487, 57.262378834549615, 0.0], [-4.483360381260618, 57.26241492535965, 0.0], [-4.483339838816641, 57.26240902216031, 0.0], [-4.483328785839047, 57.26241297000459, 0.0], [-4.483295181671934, 57.2624488913622, 0.0], [-4.483290356279818, 57.26244796500811, 0.0], [-4.483257663834273, 57.2624831422341, 0.0]]], ""type"": ""Polygon""}",30/01/2026,FOYERS PS SUBSTATION,275000
"56.32531599668222, -4.724404231537278","{""coordinates"": [[[-4.72505409548204, 56.32464738047592, 0.0], [-4.725189360650289, 56.324656896587314, 0.0], [-4.725149433686259, 56.32487841843512, 0.0], [-4.724958960634677, 56.32591095645749, 0.0], [-4.7245330069094, 56.326067286468266, 0.0], [-4.724450144724867, 56.326084928997005, 0.0], [-4.723804972224833, 56.32603899417077, 0.0], [-4.723719595661609, 56.32587153643234, 0.0], [-4.723722408811178, 56.32527313594846, 0.0], [-4.723830127218443, 56.32483093372209, 0.0], [-4.723890751555866, 56.32458004405892, 0.0], [-4.72488729881077, 56.32463776276493, 0.0], [-4.72505409548204, 56.32464738047592, 0.0]]], ""type"": ""Polygon""}",30/01/2026,INVERARNAN SUBSTATION,275000
"57.47376072306791, -1.7994419419887318","{""coordinates"": [[[-1.800363558212099, 57.47285505180135, 0.0], [-1.800592933784453, 57.47300172035427, 0.0], [-1.800747240736329, 57.47314029535862, 0.0], [-1.800813610831407, 57.47319968496332, 0.0], [-1.800891603530375, 57.47326807541839, 0.0], [-1.80105064443485, 57.474277021054974, 0.0], [-1.801064709729841, 57.474366239145056, 0.0], [-1.801077819180033, 57.47444940507371, 0.0], [-1.800730544751322, 57.47467808362832, 0.0], [-1.800443911038559, 57.47486357008803, 0.0], [-1.80013252716618, 57.474878348078974, 0.0], [-1.799657204694347, 57.47489915315977, 0.0], [-1.799171877366898, 57.47491994054202, 0.0], [-1.799064871650337, 57.474924549074004, 0.0], [-1.799023910633941, 57.47492630736219, 0.0], [-1.798754411580212, 57.47479516401107, 0.0], [-1.798716999368527, 57.47457882228245, 0.0], [-1.798672171127673, 57.47430722595834, 0.0], [-1.798567926524095, 57.47421020976266, 0.0], [-1.798321113316083, 57.47416643909566, 0.0], [-1.797784245155007, 57.474122805709676, 0.0], [-1.797561771945466, 57.47410711608269, 0.0], [-1.797553141447389, 57.474087834652636, 0.0], [-1.797551362737866, 57.47408384354379, 0.0], [-1.797544306365944, 57.47407238844815, 0.0], [-1.797551054731804, 57.47405508088501, 0.0], [-1.797570896360477, 57.474006768536576, 0.0], [-1.797580981260563, 57.47398308869988, 0.0], [-1.797869751797196, 57.473910388207365, 0.0], [-1.797869902055971, 57.473910352517585, 0.0], [-1.79786392576663, 57.47386931958928, 0.0], [-1.797861030559143, 57.473850092271384, 0.0], [-1.797811575146527, 57.473505801296, 0.0], [-1.79776021547684, 57.47320462353796, 0.0], [-1.797864825804101, 57.47311951054638, 0.0], [-1.797877353604263, 57.47310930843847, 0.0], [-1.797832317472592, 57.472919183268566, 0.0], [-1.797781931115205, 57.47291922835955, 0.0], [-1.797774650775621, 57.47283959525408, 0.0], [-1.797819420034014, 57.47283921780187, 0.0], [-1.797791943175845, 57.472681978937786, 0.0], [-1.797782236772975, 57.472628068010216, 0.0], [-1.798050748359429, 57.47261412554384, 0.0], [-1.798087923260096, 57.472827071754836, 0.0], [-1.799019732021745, 57.47276900359979, 0.0], [-1.79904078058992, 57.472767689708384, 0.0], [-1.800145685440788, 57.47271573619025, 0.0], [-1.800363558212099, 57.47285505180135, 0.0]]], ""type"": ""Polygon""}",30/01/2026,PETERHEAD SUBSTATION,275000
"57.174139553679936, -2.1383512159702964","{""coordinates"": [[[-2.139400135152825, 57.17411539589105, 0.0], [-2.139196227863998, 57.17466096766078, 0.0], [-2.139188095655296, 57.174681559397385, 0.0], [-2.139156567205475, 57.174677790125024, 0.0], [-2.139148302214144, 57.174676734820764, 0.0], [-2.139078062185331, 57.174667757961686, 0.0], [-2.138920872138264, 57.174648169785335, 0.0], [-2.138506650884185, 57.1744019557227, 0.0], [-2.138500683939383, 57.17439845895624, 0.0], [-2.138438782278999, 57.17438568170429, 0.0], [-2.138268139893972, 57.17435065684688, 0.0], [-2.138254080606761, 57.17435022321204, 0.0], [-2.138041801847821, 57.17432593372959, 0.0], [-2.137834073319555, 57.174302150912624, 0.0], [-2.137800899648202, 57.174298351669265, 0.0], [-2.137757219352528, 57.17429327940308, 0.0], [-2.137535063719777, 57.17426788603325, 0.0], [-2.13749646323403, 57.17426347284071, 0.0], [-2.1372375270821, 57.17423375357316, 0.0], [-2.13718722928264, 57.174228059548206, 0.0], [-2.136889083563055, 57.17419451980602, 0.0], [-2.136807846301225, 57.17418535606591, 0.0], [-2.136777434538684, 57.17418194788924, 0.0], [-2.136733227383947, 57.17417699351901, 0.0], [-2.136780893750166, 57.174052617038825, 0.0], [-2.136830645889082, 57.17404501701096, 0.0], [-2.13686667726972, 57.17403904888892, 0.0], [-2.136912131431885, 57.174031992502506, 0.0], [-2.137286917425766, 57.17399511149657, 0.0], [-2.13733443433948, 57.17387558577478, 0.0], [-2.138178509430449, 57.173821837809676, 0.0], [-2.138640641544805, 57.173792402104326, 0.0], [-2.139308248865574, 57.17386981355005, 0.0], [-2.139324018130994, 57.17391195853763, 0.0], [-2.139343946294182, 57.17396274322074, 0.0], [-2.139400135152825, 57.17411539589105, 0.0]]], ""type"": ""Polygon""}",30/01/2026,PERSLEY SUBSTATION,275000
"57.4199910902995, -4.2440463646641815","{""coordinates"": [[[-4.244710862886093, 57.4199781405505, 0.0], [-4.243842612184145, 57.42033500741618, 0.0], [-4.243379857500864, 57.42000280780641, 0.0], [-4.244255291255663, 57.41964771202875, 0.0], [-4.244710862886093, 57.4199781405505, 0.0]]], ""type"": ""Polygon""}",30/01/2026,KNOCKNAGAEL-TOMATIN (CMA) SEALING END COMPOUND,275000
"58.464033780883945, -3.081436999763857","{""coordinates"": [[[-3.07989548765542, 58.46417149690226, 0.0], [-3.080236617762229, 58.46376552549981, 0.0], [-3.080176282156323, 58.46372032954535, 0.0], [-3.080267662756684, 58.46361157637837, 0.0], [-3.080371945454725, 58.46360447347675, 0.0], [-3.080587321638399, 58.46334592242744, 0.0], [-3.082977117892082, 58.46389824465731, 0.0], [-3.082758548024809, 58.46415838868135, 0.0], [-3.082818889400725, 58.46420358339074, 0.0], [-3.082725587038142, 58.46431463152444, 0.0], [-3.082621225064733, 58.46432183041082, 0.0], [-3.082284453070086, 58.464722648207896, 0.0], [-3.07989548765542, 58.46417149690226, 0.0]]], ""type"": ""Polygon""}",30/01/2026,NOSS HEAD SWITCHING STATION,320000
"57.02744028076418, -4.471196099718053","{""coordinates"": [[[-4.472697120844169, 57.027065212699, 0.0], [-4.472269932175891, 57.02808432041284, 0.0], [-4.469585371546947, 57.02775115225406, 0.0], [-4.469484590214145, 57.02755255501736, 0.0], [-4.469566882452163, 57.027358533807174, 0.0], [-4.469519435978015, 57.027310042955754, 0.0], [-4.470114452869471, 57.02738163193659, 0.0], [-4.470356200687266, 57.02678046991558, 0.0], [-4.472697120844169, 57.027065212699, 0.0]]], ""type"": ""Polygon""}",30/01/2026,MELGARVE SUBSTATION,400000
