Project Name,Customer Name,Connection Site,Stage,MW Connected,MW Increase / Decrease,Cumulative Total Capacity (MW),MW Effective From,Project Status,Agreement Type,Host TO,Plant Type,Project ID,Project Number
17 Acres and BESS,AEUK BATTERY PROJECT II LTD,17 ACRES BESS 275KV SUBSTATION,,0.0,95.76,95.76,2032-06-30,Scoping,Direct Connection,SHET,Energy Storage System,a0l8e0000012ezRAAQ,PRO-004392
50MW BESS Connagill,Cerulisia Ltd,New Connagill 275/132kV Substation,,0.0,50.0,50.0,2031-10-31,Scoping,Direct Connection,SHET,Energy Storage System,a0lJ9000000blmDIAQ,PRO-004938
Aberarder Wind Farm,ABERARDER WIND FARM LLP,Aberarder Wind Farm 132/33kV Substation,,0.0,49.99,49.99,2026-08-31,Consents Approved,Direct Connection,SHET,Wind Onshore,a0l4L0000005ilHQAQ,PRO-000368
Achanalt Battery Storage,ADTEK LIMITED,Grudie Bridge GSP,,0.0,49.9,49.9,2027-10-31,Scoping,Embedded,SHET,Energy Storage System,a0l8e000001HrmUAAS,PRO-004221
Acheilidh Wind Farm,ENERGYFARM UK ACHEILIDH LTD,Acheilidh Wind farm 132kV Substation,,0.0,84.2,84.2,2033-10-31,Scoping,Direct Connection,SHET,Energy Storage System;Wind Onshore,a0lJ9000000PDsuIAG,PRO-005042
Achrugan Wind Farm,Statkraft Windco 1 Limited,Achrugan 132kV Substation,,0.0,149.0,149.0,2030-07-31,Scoping,Direct Connection,SHET,Energy Storage System;Wind Onshore,a0l4L0000005ivEQAQ,PRO-002267
Aigas (part of the Beauly Cascade),SSE GENERATION LIMITED,Aigas Hydro 132kV Substation,,20.0,0.0,20.0,,Built,Direct Connection,SHET,Hydro,a0l4L0000005itFQAQ,PRO-000006
Akku Tealing Battery Storage,Akku Tealing Limited,Tealing 275/33kV Substation,,0.0,500.0,500.0,2033-10-31,Scoping,Direct Connection,SHET,Energy Storage System,a0l8e0000010xi1AAA,PRO-003092
Beinneun Wind Farm,BEINNEUN WIND FARM LTD,Beinneun 132kV Substation,,109.0,0.0,109.0,,Built,Direct Connection,SHET,Wind Onshore,a0l4L0000005ilZQAQ,PRO-000031
Alyth,ECODEV (ALYTH) LTD,Alyth Solar and Battery 400/132kV,2,0.0,450.0,900.0,2033-10-31,Scoping,Direct Connection,SHET,Energy Storage System;PV Array (Photo Voltaic/solar),a0l4L0000005iZLQAY,PRO-001978-2
Ardkinglas,SCOTTISHPOWER RENEWABLES (UK) LIMITED,Ardkinglas GSP,,19.25,0.0,19.25,,Built,Embedded,SHET,Wind Onshore,a0l4L0000005iWVQAY,PRO-000013
Arven South Offshore Wind Farm,ARVEN SOUTH LIMITED,Northern Shetland 400kV Substation,,0.0,500.0,500.0,2033-10-31,Scoping,Direct Connection,SHET,Wind Offshore,a0l8e000001HxQ5AAK,PRO-004242
AULTCRAGGIE BESS,OPDE UK LIMITED,Brora GSP,,0.0,50.0,50.0,2034-10-31,Scoping,Embedded,SHET,Energy Storage System,a0l8e000000TPFmAAO,PRO-003228
Balinoe Wind Farm,RWE Renewables UK Onshore Wind Limited,Balinoe 132kV substation,,0.0,160.6,160.6,2034-10-31,Scoping,Direct Connection,SHET,Energy Storage System;Wind Onshore,a0l8e0000012kqNAAQ,PRO-004776
Ballach,ENERGYFARM UK BALLACH LTD,New North West 132kV Substation,,0.0,149.0,149.0,2037-10-31,Scoping,Direct Connection,SHET,Energy Storage System;Wind Onshore,a0lJ9000000PNJcIAO,PRO-005977
Ballygroggan Wind Farm,DALRIADA RENEWABLES LIMITED,BALLYGROGGAN 132/33KV SUBSTATION,,0.0,96.0,96.0,2034-10-31,Scoping,Direct Connection,SHET,Wind Onshore,a0l8e000000exU0AAI,PRO-003733
Beauly 02 BESS,FIELD BEAULY LTD,BEAULY 02 BESS 132kV SUBSTATION,,0.0,100.0,100.0,2028-12-31,Scoping,Direct Connection,SHET,Energy Storage System,a0l8e000000exTqAAI,PRO-003731
